amount_awarded_costs,amount_awarded_interest,amount_awarded_principal,argument_cites_contract_or_document,argument_cites_specific_dates,argument_cites_specific_dollar_amounts,argument_cites_statute_or_legal_basis,argument_has_chronological_timeline,argument_identifies_specific_location,argument_names_specific_witnesses,argument_quantifies_each_damage_component,attempted_mediation,case_number,claim_amount_is_within_small_claims_limit,claim_amount_stated_in_dollars,claim_category,contract_is_signed_by_both_parties,contract_is_written,contract_present,contract_specifies_deadline_or_term,contract_specifies_payment_amount,counterclaim_present,damages_are_ongoing,damages_have_third_party_valuation,damages_include_lost_wages,damages_include_out_of_pocket_costs,damages_include_property_value_loss,defendant_appeared,defendant_count,dismissal_type,document_count,feature_version,gave_opportunity_to_cure,has_attorney_defendant,has_attorney_plaintiff,has_expert_assessment,has_invoices_or_billing_records,has_medical_records,has_photos_or_physical_evidence,has_police_report,has_receipts_or_financial_records,has_repair_or_replacement_estimate,has_signed_contract_attached,has_witness_statements,has_written_communications,judgment_date,missing_features,monetary_amount_claimed,opposing_party_filed_response_documents,opposing_party_has_attorney,outcome,outcome_summary,plaintiff_count,sent_certified_mail,sent_written_demand_letter,text_length,user_has_attorney,user_is_plaintiff,user_seeks_court_costs,user_seeks_interest,witness_count
750.0,0.0,6500.0,,,,,,,,,,CSM24867805,,,,,,,,,,,,,,,False,,,,,,False,False,,,,,,,,,,,2024-04-02,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $6,500 in principal and $750 in costs.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867806,,,,,,,,,,,,,,,,,without_prejudice,,,,,True,,,,,,,,,,,2024-01-18,True,,,,dismissed,"The case was dismissed without prejudice on January 18, 2024.",,,,,,,,,
,,,,,,,,,,,,CSM24867807,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,True,,,,,The order pertains to a request to appear by Zoom at a scheduled hearing.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867808,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-04-25,True,,,,defendant_win,"The court ruled in favor of the defendant, WAG HOTELS, INC, stating they do not owe any money to the plaintiff, Trevor Chandler.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867809,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-03-01,True,,,,defendant_win,"The court found that the plaintiff proved he suffered injury due to a fall, but did not meet his burden of proof to show the defendant failed to exercise ordinary care.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867810,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-03-01,True,,,,defendant_win,"The court ruled in favor of the defendant, 24 Hour Fitness USA LLC, stating they do not owe any money to the plaintiff, Thomas Akins Jr.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867811,,,,,,,,,,,,,,,,,without_prejudice,,,,,,,,,,,,,,,,2024-03-08,True,,,,dismissed,The case was dismissed without prejudice due to no appearance by the plaintiff.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867812,,,,,,,,,,,,,,,False,,with_prejudice,,,,False,False,,,,,,,,,,,2024-06-10,True,,,,dismissed,The case was dismissed with prejudice due to no appearances.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867813,,,,,,,,,,,,,,,,,without_prejudice,,,,,True,,,,,,,,,,,2024-02-29,True,,,,dismissed,The case was dismissed without prejudice at the request of the plaintiff.,,,,,,,,,
0.0,0.0,6250.0,,,,,,,,,,CSM24867814,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-05-01,True,,,,plaintiff_win,"The court ruled in favor of KSH Automotive, Inc. and against Robert Naboyev, awarding $6,250.00.",,,,,,,,,
428.7,100.61,904.0,,,,,,,,,,CSM24867815,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-08-09,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding a total of $904.00 in principal, costs, and interest.",,,,,,,,,
,,,,,,,,,,,,CSM24867816,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,,True,,,,,Stipulation to use Judge Pro Tem for trial purposes.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867817,,,,,,,,,,,,,,,False,,with_prejudice,,,,False,False,,,,,,,,,,,2024-04-05,True,,,,dismissed,The case was dismissed with prejudice due to no appearances.,,,,,,,,,
50.0,0.0,2524.0,,,,,,,,,,CSM24867818,,,,,,,,,,,,,,,False,,without_prejudice,,,,False,False,,,,,,,,,,,2024-03-08,True,,,,dismissed,The case was dismissed without prejudice due to no appearances by either party.,,,,,,,,,
0.0,0.0,6832.06,,,,,,,,,,CSM24867819,,,,,,,,,,,,,,,False,,,,,,True,False,,,,,,,,,,,2024-09-30,True,,,,defendant_win,"The court ruled in favor of the defendant, Bin Li, awarding him $6,832.06.",,,,,,,,,
100.0,100.0,4644.0,,,,,,,,,,CSM24867820,,,,,,,,,,,,,,,False,,,,,,False,False,,,,,,,,,,,2024-04-22,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $4,644.00 in principal, $100.00 in costs, and $100.00 in interest.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867821,,,,,,,,,,,,,,,False,,with_prejudice,,,,False,True,,,,,,,,,,,2024-05-17,True,,,,dismissed,The case was dismissed with prejudice at the request of the plaintiff.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867822,,,,,,,,,,,,,,,,,with_prejudice,,,,,,,,,,,,,,,,2024-03-14,True,,,,dismissed,The case was dismissed with prejudice.,,,,,,,,,
750.0,0.0,5840.0,,,,,,,,,,CSM24867823,,,,,,,,,,,,,,,False,,,,,,False,False,,,,,,,,,,,2024-04-02,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $5,840 in principal and $750 in costs.",,,,,,,,,
210.0,0.0,9900.0,,,,,,,,,,CSM24867824,,,,,,,,,,,,,,,True,,,,,,True,False,,,,,,,,,,,2024-08-21,True,,,,plaintiff_win,"The court ruled in favor of Lawrence D. Murray, ordering the State of California - HUD to pay $9,900 in principal and $210 in costs.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867825,,,,,,,,,,,,,,,False,,without_prejudice,,,,False,False,,,,,,,,,,,2024-04-19,True,,,,dismissed,The case was dismissed without prejudice due to no appearances.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-15,True,,,,defendant_win,The court ruled that the defendant does not owe the plaintiff any money on the plaintiff's claim.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-11,True,,,,defendant_win,"The court ruled that T-Mobile USA, Inc does not owe Alfred Wylie any money on the plaintiff's claim.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867828,,,,,,,,,,,,,,,False,,with_prejudice,,,,False,False,,,,,,,,,,,2024-05-14,True,,,,dismissed,The case was dismissed with prejudice due to no appearance by the plaintiff.,,,,,,,,,
0.0,0.0,1200.0,,,,,,,,,,CSM24867829,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,2024-03-01,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, ordering the defendant to pay $1,200.00.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867830,,,,,,,,,,,,,,,False,,without_prejudice,,,,False,False,,,,,,,,,,,2024-03-05,True,,,,dismissed,The case was dismissed without prejudice due to no appearance by the plaintiff.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867831,,,,,,,,,,,,,,,False,,without_prejudice,,,,False,False,,,,,,,,,,,2024-03-05,True,,,,dismissed,The case was dismissed without prejudice due to no appearance by the plaintiff.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867832,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-04-02,True,,,,defendant_win,"The court ruled in favor of the defendant, Lyft Inc., stating that they do not owe any money to the plaintiff, Vladislav Dimitrov.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867833,,,,,,,,,,,,,,,,,without_prejudice,,,,,True,,,,,,,,,,,2024-04-16,True,,,,dismissed,The case was dismissed without prejudice at the request of the plaintiff.,,,,,,,,,
150.0,0.0,450.0,,,,,,,,,,CSM24867834,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-03-18,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $450 in principal and $150 in costs.",,,,,,,,,
7500.0,0.0,10000.0,,,,,,,,,,CSM24867835,,,,,,,,,,,,,,,True,,,,,,True,False,,,,,,,,,,,2024-03-12,True,,,,plaintiff_win,"The court ruled in favor of the plaintiffs, awarding them $10,000 in principal and $7,500 in costs.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867836,,,,,,,,,,,,,,,True,,with_prejudice,,,,False,False,,,,,,,,,,,2024-07-08,True,,,,dismissed,The court dismissed the entire action with prejudice.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867837,,,,,,,,,,,,,,,True,,with_prejudice,,,,False,False,,,,,,,,,,,2024-08-06,True,,,,dismissed,The court dismissed the entire action with prejudice.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867838,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-03-04,True,,,,defendant_win,The court ruled that the defendant does not owe the plaintiff any money.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-13,True,,,,defendant_win,The court ruled that the defendant does not owe the plaintiff any money on the plaintiff's claim.,,,,,,,,,
45.0,0.0,525.0,,,,,,,,,,CSM24867840,,,,,,,,,,,,,,,True,,,,,,True,False,,,,,,,,,,,2024-03-04,True,,,,plaintiff_win,"The court ruled in favor of the plaintiffs, Zaki Jones and Zhiwei Yu, awarding them $525 in principal and $45 in costs.",,,,,,,,,
210.0,46.0,2754.52,,,,,,,,,,CSM24867841,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-03-19,True,,,,plaintiff_win,The court found the defendant negligent and awarded the plaintiff damages for the repair of the vehicle.,,,,,,,,,
90.0,0.0,2416.0,,,,,,,,,,CSM24867842,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-03-04,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $2,416 in principal and $90 in costs.",,,,,,,,,
0.0,0.0,5000.0,,,,,,,,,,CSM24867843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, ordering the defendant to pay $5,000 in principal.",,,,,,,,,
90.0,0.0,6000.0,,,,,,,,,,CSM24867844,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,2024-04-18,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, ordering the defendant to pay $6,000 in principal and $90 in costs.",,,,,,,,,
268.5,268.5,10000.0,,,,,,,,,,CSM24867845,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,2024-03-11,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $10,000 in principal, $268.50 in costs, and $268.50 in interest.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867846,,,,,,,,,,,,,,,False,,without_prejudice,,,,False,True,,,,,,,,,,,2024-03-15,True,,,,dismissed,The court ordered dismissal of the entire action without prejudice.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867847,,,,,,,,,,,,,,,,,without_prejudice,,,,,True,,,,,,,,,,,2024-02-06,True,,,,dismissed,"The case was dismissed without prejudice on February 6, 2024.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867848,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-04-12,True,,,,defendant_win,The court ruled that the defendant does not owe the plaintiff any money on the plaintiff's claim.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867849,,,,,,,,,,,,,,,,,without_prejudice,,,,,,,,,,,,,,,,2024-03-15,True,,,,dismissed,The case was dismissed without prejudice due to no appearance by the plaintiff.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867850,,,,,,,,,,,,,,,False,,without_prejudice,,,,,True,,,,,,,,,,,2024-11-08,True,,,,dismissed,The court ordered the dismissal of the entire action without prejudice.,,,,,,,,,
50.0,0.0,3548.5,,,,,,,,,,CSM24867851,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,2024-03-08,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $3,548.50 in principal and $50.00 in costs.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867852,,,,,,,,,,,,,,,False,,without_prejudice,,,,False,False,,,,,,,,,,,2024-05-02,True,,,,dismissed,The case was dismissed without prejudice due to no appearances.,,,,,,,,,
150.0,0.0,2500.0,,,,,,,,,,CSM24867853,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-03-20,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $2,500 in principal and $150 in costs.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867854,,,,,,,,,,,,,,,,,without_prejudice,,,,,True,,,,,,,,,,,2024-02-01,True,,,,dismissed,The case was dismissed without prejudice at the request of the plaintiff.,,,,,,,,,
135.0,0.0,4626.49,,,,,,,,,,CSM24867855,,,,,,,,,,,,,,,False,,,,,,False,False,,,,,,,,,,,2024-03-20,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, Meher Bharucha, awarding $4,626.49 in principal and $135.00 in costs.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867856,,,,,,,,,,,,,,,,,without_prejudice,,,,False,False,,,,,,,,,,,2024-04-16,True,,,,dismissed,The case was dismissed without prejudice due to no appearance by the plaintiff.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867857,,,,,,,,,,,,,,,False,,without_prejudice,,,,,True,,,,,,,,,,,2024-04-15,True,,,,dismissed,The case was dismissed without prejudice at the request of the plaintiff.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867858,,,,,,,,,,,,,,,True,,with_prejudice,,,,False,True,,,,,,,,,,,2024-05-08,True,,,,settled,The case was settled and dismissed with prejudice.,,,,,,,,,
250.0,0.0,2685.0,,,,,,,,,,CSM24867859,,,,,,,,,,,,,,,True,,,,,,True,False,,,,,,,,,,,2024-04-12,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, Star Bridge Mandarin, Inc., awarding them $2,685 in principal and $250 in costs.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867860,,,,,,,,,,,,,,,False,,without_prejudice,,,,False,False,,,,,,,,,,,2024-04-29,True,,,,dismissed,The case was dismissed without prejudice due to no appearance by the plaintiff and no proof of service.,,,,,,,,,
0.0,0.0,1301.12,,,,,,,,,,CSM24867861,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,2024-03-22,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, Lillian Somarriba, awarding her $1,301.12 in principal.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867862,,,,,,,,,,,,,,,,,without_prejudice,,,,,True,,,,,,,,,,,2024-02-21,True,,,,dismissed,The case was dismissed without prejudice at the request of the plaintiff.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867863,,,,,,,,,,,,,,,False,,without_prejudice,,,,False,False,,,,,,,,,,,2024-09-06,True,,,,dismissed,The case was dismissed without prejudice due to no appearances.,,,,,,,,,
0.0,0.0,8000.0,,,,,,,,,,CSM24867864,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-03-21,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $8,000 in principal damages.",,,,,,,,,
90.0,0.0,9500.0,,,,,,,,,,CSM24867865,,,,,,,,,,,,,,,False,,,,,,False,False,,,,,,,,,,,2024-03-12,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $9,500 in principal and $90 in costs, as the defendant did not appear.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867866,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,2024-03-20,True,,,,defendant_win,The court ruled that the defendant does not owe the plaintiff any money.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867867,,,,,,,,,,,,,,,,,without_prejudice,,,,,True,,,,,,,,,,,2024-02-22,True,,,,dismissed,The case was dismissed without prejudice at the request of the plaintiff.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-04,True,,,,defendant_win,The court ruled that the defendant does not owe the plaintiff any money.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867870,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-03-21,True,,,,defendant_win,"The court found in favor of the defendant, Damar Construction & Remodeling, Inc., and awarded no money to the plaintiffs.",,,,,,,,,
225.0,0.0,5574.0,,,,,,,,,,CSM24867871,,,,,,,,,,,,,,,True,,,,,,False,True,,,,,,,,,,,2024-06-06,True,,,,plaintiff_win,"The court ruled in favor of Rebecca Pearson, awarding her a total of $5,799 against Malcolm Bowles.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867872,,,,,,,,,,,,,,,,,without_prejudice,,,,,True,,,,,,,,,,,2024-02-14,True,,,,dismissed,The case was dismissed without prejudice at the request of the plaintiff.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867873,,,,,,,,,,,,,,,False,,without_prejudice,,,,False,False,,,,,,,,,,,2024-05-03,True,,,,dismissed,The court dismissed the entire action without prejudice due to no appearances.,,,,,,,,,
200.0,0.0,1295.87,,,,,,,,,,CSM24867874,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,2024-03-25,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, Yuto Mori, awarding him $1,295.87 in principal and $200 in costs.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867875,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-03-22,True,,,,defendant_win,"The court ruled in favor of the defendant, finding that the plaintiff did not meet her burden of proof.",,,,,,,,,
45.0,24.95,661.65,,,,,,,,,,CSM24867876,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,2024-03-22,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding a total of $661.65 in principal, costs, and interest.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22,True,,,,dismissed,The Small Claims hearing was ordered off calendar.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867878,,,,,,,,,,,,,,,True,,with_prejudice,,,,False,False,,,,,,,,,,,2024-07-01,True,,,,dismissed,"The court dismissed the entire action with prejudice, as the plaintiff assumed the risks of the hair coloring process and consequences.",,,,,,,,,
0.0,0.0,2639.5,,,,,,,,,,CSM24867879,,,,,,,,,,,,,,,False,,with_prejudice,,,,False,False,,,,,,,,,,,2025-08-04,True,,,,dismissed,The case was dismissed with prejudice.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867880,,,,,,,,,,,,,,,,,without_prejudice,,,,False,True,,,,,,,,,,,2024-03-26,True,,,,dismissed,The entire action was dismissed without prejudice.,,,,,,,,,
65.0,0.0,3500.0,,,,,,,,,,CSM24867881,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-05-31,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $3,500 in principal and $65 in costs.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-25,True,,,,defendant_win,The court ruled that the defendant does not owe the plaintiff any money on the plaintiff's claim.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867883,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,2025-03-21,True,,,,defendant_win,"The court ruled in favor of the defendant, stating that they do not owe the plaintiff any money.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867884,,,,,,,,,,,,,,,False,,without_prejudice,,,,False,False,,,,,,,,,,,2024-04-02,True,,,,dismissed,The case was dismissed without prejudice due to no appearance by the plaintiff.,,,,,,,,,
475.0,0.0,2882.68,,,,,,,,,,CSM24867885,,,,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,2024-11-22,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $2,882.68 in principal and $475.00 in costs.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867886,,,,,,,,,,,,,,,True,,without_prejudice,,,,False,False,,,,,,,,,,,2024-08-19,True,,,,dismissed,The court dismissed the entire action without prejudice.,,,,,,,,,
500.0,0.0,11870.97,,,,,,,,,,CSM24867887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-25,True,,,,plaintiff_win,"The plaintiff was awarded $11,870.97 in principal and $500 in costs due to a motor vehicle accident.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867888,,,,,,,,,,,,,,,,,without_prejudice,,,,,,,,,,,,,,,,2024-06-04,True,,,,dismissed,The court dismissed the entire action at the request of the plaintiff without prejudice.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867889,,,,,,,,,,,,,,,,,with_prejudice,,,,,,,,,,,,,,,,2024-08-06,True,,,,dismissed,The court ordered dismissal of the entire action with prejudice.,,,,,,,,,
150.0,0.0,2500.0,,,,,,,,,,CSM24867890,,,,,,,,,,,,,,,True,,,,,,False,False,,,,,,,,,,,2024-06-07,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $2,500 in principal and $150 in costs.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867891,,,,,,,,,,,,,,,False,,without_prejudice,,,,False,False,,,,,,,,,,,2025-05-19,True,,,,dismissed,The case was dismissed without prejudice due to no appearances.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867892,,,,,,,,,,,,,,,True,,with_prejudice,,,,False,False,,,,,,,,,,,2024-06-12,True,,,,dismissed,The court dismissed the entire action with prejudice.,,,,,,,,,
150.0,150.0,2500.0,,,,,,,,,,CSM24867893,,,,,,,,,,,,,,,False,,,,,,False,False,,,,,,,,,,,2024-06-13,True,,,,plaintiff_win,"The court ruled in favor of the plaintiff, awarding $2,500 in principal, $150 in costs, and $150 in interest.",,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867894,,,,,,,,,,,,,,,True,,with_prejudice,,,,False,False,,,,,,,,,,,2024-09-20,True,,,,dismissed,The court dismissed the entire action with prejudice.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867895,,,,,,,,,,,,,,,,,without_prejudice,,,,,True,,,,,,,,,,,2024-04-05,True,,,,dismissed,The entire action was dismissed without prejudice.,,,,,,,,,
0.0,0.0,0.0,,,,,,,,,,CSM24867896,,,,,,,,,,,,,,,False,,without_prejudice,,,,False,False,,,,,,,,,,,2024-03-26,True,,,,dismissed,The case was dismissed without prejudice due to no appearance by the plaintiff.,,,,,,,,,
175.0,0.0,12500.0,,,,,,,,,,CSM24867897,,,,,,,,,,,,,,,True,,,,,,False,True,,,,,,,,,,,2024-09-19,True,,,,plaintiff_win,"The court ruled in favor of Teshika Hatch and Cory Beavers, awarding them $12,500 in principal and $175 in costs.",,,,,,,,,
